Title,Genre,Year,Director,Writer,Cast,Runtime,Source Image Filename
Peaky Blinders,"Crime, Drama",2013,"Otto Bathurst, Tom Harper, Colm McCarthy","Steven Knight, Toby Finlay, Stephen Russell","Cillian Murphy, Helen McCrory, Paul Anderson, Sam Neill, Sophie Rundle",55-83 min/episode (36 episodes),Film_cards_-_9_of_50.jpeg
The Bourne Identity,"Action, Thriller",2002,Doug Liman,"Tony Gilroy, William Blake Herron","Matt Damon, Franka Potente, Julia Stiles",119 min,Film_cards_-_10_of_50.jpeg
Indiana Jones and the Last Crusade,"Action, Adventure",1989,Steven Spielberg,"Jeffrey Boam (screenplay); George Lucas, Menno Meyjes (story)","Harrison Ford, Denholm Elliott, Julian Glover, Alison Doody, John Rhys-Davies, Sean Connery",127 min,Film_cards_-_4_of_50.jpeg
Pitch Perfect,"Comedy, Music",2012,Jason Moore,Kay Cannon,"Anna Kendrick, Brittany Snow, Rebel Wilson",112 min,Film_cards_-_1_of_50.jpeg
Zoolander,Comedy,2001,Ben Stiller,"Ben Stiller, Drake Sather, John Hamburg","Ben Stiller, Owen Wilson, Will Ferrell",89 min,Film_cards_-_18_of_50.jpeg
Saw,"Horror, Mystery, Thriller",2004,James Wan,"Leigh Whannell (screenplay); James Wan, Leigh Whannell (story)","Cary Elwes, Leigh Whannell, Shawnee Smith, Tobin Bell",103 min,Film_cards_-_15_of_50.jpeg
The Hunger Games,"Action, Adventure, Sci-Fi",2012,Gary Ross,"Gary Ross, Suzanne Collins, Billy Ray","Jennifer Lawrence, Liam Hemsworth, Josh Hutcherson",142 min,Film_cards_-_12_of_50.jpeg
Beauty and the Beast,"Animation, Family, Fantasy, Musical, Romance",1991,"Gary Trousdale, Kirk Wise",Linda Woolverton,"Paige O'Hara, Robby Benson, Angela Lansbury",84 min,Film_cards_-_6_of_50.jpeg
All Quiet on the Western Front,"War, Drama",2022,Edward Berger,"Edward Berger, Lesley Paterson, Ian Stokell","Felix Kammerer, Albrecht Schuch, Aaron Hilmer",148 min,Film_cards_-_3_of_50.jpeg
Keeping Up with the Joneses,"Action, Comedy",2016,Greg Mottola,Michael LeSieur,"Gal Gadot, Zach Galifianakis, Jon Hamm, Isla Fisher",105 min,Film_cards_-_17_of_50.jpeg
What We Do in the Shadows,"Comedy, Horror",2014,"Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi","Taika Waititi, Jemaine Clement, Jonathan Brugh",86 min,Film_cards_-_20_of_50.jpeg
In Time,"Action, Crime, Sci-Fi, Thriller",2011,Andrew Niccol,Andrew Niccol,"Justin Timberlake, Amanda Seyfried, Cillian Murphy",109 min,Film_cards_-_19_of_50.jpeg
Mamma Mia!,"Comedy, Musical, Romance",2008,Phyllida Lloyd,Catherine Johnson,"Meryl Streep, Amanda Seyfried, Pierce Brosnan, Colin Firth, Christine Baranski, Stellan Skarsgard, Dominic Cooper, Julie Walters",109 min,Film_cards_-_14_of_50.jpeg
Percy Jackson & the Olympians: The Lightning Thief,"Adventure, Family, Fantasy",2010,Chris Columbus,Craig Titley,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario",118 min,Film_cards_-_8_of_50.jpeg
Knives Out,"Comedy, Crime, Drama, Mystery",2019,Rian Johnson,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas",130 min,Film_cards_-_11_of_50.jpeg
Gilmore Girls,"Comedy, Drama",2000,Amy Sherman-Palladino,Amy Sherman-Palladino (creator),"Lauren Graham, Alexis Bledel, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Keiko Agena, Scott Patterson, Liza Weil, Yanic Truesdale, Sean Gunn",39-45 min/episode (153 episodes),Film_cards_-_5_of_50.jpeg
Forrest Gump,"Drama, Romance",1994,Robert Zemeckis,Eric Roth,"Tom Hanks, Robin Wright, Gary Sinise",142 min,Film_cards_-_2_of_50.jpeg
Saw II,"Horror, Crime, Mystery, Thriller",2005,Darren Lynn Bousman,"Leigh Whannell, Darren Lynn Bousman","Donnie Wahlberg, Beverley Mitchell, Shawnee Smith, Tobin Bell",93 min,Film_cards_-_16_of_50.jpeg
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy",2001,Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Elijah Wood, Sean Astin, Billy Boyd, Ian McKellen, Orlando Bloom, Dominic Monaghan",178 min,Film_cards_-_13_of_50.jpeg
Raiders of the Lost Ark,"Action, Adventure",1981,Steven Spielberg,"Lawrence Kasdan, George Lucas, Philip Kaufman","Harrison Ford, Karen Allen, Paul Freeman",115 min,Film_cards_-_7_of_50.jpeg
Chronicles of Narnia,"Adventure, Family, Fantasy",2005,Andrew Adamson,"Ann Peacock, Andrew Adamson, Christopher Markus, Stephen McFeely","Georgie Henley, James McAvoy, Tilda Swinton",143 min,Film_cards_-_27_of_50.jpeg
Taken,"Action, Thriller",2008,Pierre Morel,"Luc Besson, Robert Mark Kamen","Liam Neeson, Maggie Grace, Famke Janssen",90 min,Film_cards_-_33_of_50.jpeg
Jurassic Park,"Adventure, Sci-Fi",1993,Steven Spielberg,"Michael Crichton, David Koepp","Sam Neill, Laura Dern, Jeff Goldblum",127 min,Film_cards_-_22_of_50.jpeg
Murder Mystery,"Action, Comedy, Crime, Mystery",2019,Kyle Newacheck,James Vanderbilt,"Jennifer Aniston, Adam Sandler",97 min,Film_cards_-_25_of_50.jpeg
Kung Fu Panda,"Animation, Action, Adventure, Comedy",2008,"John Stevenson, Mark Osborne","Jonathan Aibel, Glenn Berger","Jack Black, Dustin Hoffman, Angelina Jolie, Seth Rogen, Lucy Liu, David Cross, Jackie Chan, Randall Duk Kim, Ian McShane, Riley Osborne, James Hong, Dan Fogler, Michael Clarke Duncan, Kyle Gass, JR Reed, Wayne Knight",92 min,Film_cards_-_28_of_50.jpeg
Dawn of the Planet of the Apes,"Action, Drama, Sci-Fi",2014,Matt Reeves,"Mark Bomback, Rick Jaffa, Amanda Silver","Andy Serkis, Jason Clarke, Gary Oldman, Toby Kebbell, Keri Russell, Nick Thurston, Terry Notary",130 min,Film_cards_-_34_of_50.jpeg
Doctor Strange,"Action, Adventure, Fantasy",2016,Scott Derrickson,"Jon Spaihts, Scott Derrickson, C. Robert Cargill","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams",115 min,Film_cards_-_31_of_50.jpeg
Rush Hour,"Action, Comedy, Thriller",1998,Brett Ratner,"Ross LaManna, Jim Kouf","Jackie Chan, Chris Tucker, Tom Wilkinson",98 min,Film_cards_-_32_of_50.jpeg
Jumanji,"Action, Adventure, Comedy, Fantasy",2017,Jake Kasdan,"Chris McKenna, Erik Sommers, Scott Rosenberg, Jeff Pinkner","Dwayne Johnson, Karen Gillan, Kevin Hart",119 min,Film_cards_-_23_of_50.jpeg
Mulan,"Animation, Adventure, Comedy, Musical",1998,"Barry Cook, Tony Bancroft","Rita Hsiao, Chris Sanders, Philip LaZebnik","Ming-Na Wen, Eddie Murphy, BD Wong",88 min,Film_cards_-_26_of_50.jpeg
Home Alone,"Comedy, Family",1990,Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern",103 min,Film_cards_-_30_of_50.jpeg
Notting Hill,"Comedy, Drama, Romance",1999,Roger Michell,Richard Curtis,"Julia Roberts, Hugh Grant, Hugh Bonneville",124 min,Film_cards_-_21_of_50.jpeg
Ready Player One,"Action, Adventure, Sci-Fi",2018,Steven Spielberg,"Zak Penn, Ernest Cline","Tye Sheridan, Olivia Cooke, Mark Rylance, Ben Mendelson, Win Morisaki",140 min,Film_cards_-_24_of_50.jpeg
